"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","pretentious","very_crit","complete","more","convenient","inconv","nonprob","priority","priority"
"2","pretentious","very_crit","complete","more","less_conv","inconv","nonprob","priority","priority"
"3","pretentious","very_crit","complete","more","less_conv","convenient","slightly_prob","not_recom","priority"
"4","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"5","pretentious","critical","complete","more","less_conv","inconv","problematic","priority","priority"
"6","usual","very_crit","completed","more","less_conv","inconv","slightly_prob","priority","spec_prior"
"7","great_pret","very_crit","complete","more","less_conv","inconv","slightly_prob","recommended","priority"
"8","great_pret","proper","foster","more","less_conv","inconv","slightly_prob","priority","priority"
"9","pretentious","very_crit","complete","1","less_conv","inconv","slightly_prob","priority","priority"
"10","usual","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"11","pretentious","very_crit","complete","2","less_conv","inconv","problematic","priority","priority"
"12","pretentious","very_crit","completed","more","less_conv","inconv","problematic","not_recom","priority"
"13","pretentious","very_crit","complete","more","less_conv","inconv","problematic","priority","priority"
"14","great_pret","very_crit","complete","2","less_conv","inconv","slightly_prob","recommended","priority"
"15","pretentious","very_crit","incomplete","1","less_conv","inconv","slightly_prob","priority","priority"
"16","pretentious","very_crit","complete","3","less_conv","inconv","slightly_prob","priority","spec_prior"
"17","pretentious","very_crit","complete","more","less_conv","convenient","slightly_prob","priority","priority"
"18","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","spec_prior"
"19","pretentious","very_crit","complete","more","less_conv","inconv","problematic","priority","spec_prior"
"20","pretentious","critical","complete","more","less_conv","convenient","slightly_prob","priority","priority"
"21","pretentious","very_crit","incomplete","more","less_conv","inconv","slightly_prob","priority","priority"
"22","pretentious","very_crit","complete","3","less_conv","inconv","slightly_prob","priority","priority"
"23","pretentious","very_crit","complete","2","critical","inconv","slightly_prob","not_recom","priority"
"24","great_pret","less_proper","complete","more","critical","inconv","slightly_prob","priority","spec_prior"
"25","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"26","usual","very_crit","complete","more","less_conv","inconv","slightly_prob","not_recom","not_recom"
"27","pretentious","very_crit","foster","more","less_conv","inconv","slightly_prob","priority","priority"
"28","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","spec_prior"
"29","pretentious","critical","complete","more","less_conv","inconv","problematic","priority","priority"
"30","pretentious","very_crit","complete","2","less_conv","inconv","slightly_prob","recommended","priority"
"31","pretentious","very_crit","complete","3","less_conv","inconv","slightly_prob","priority","priority"
"32","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"33","pretentious","very_crit","complete","3","less_conv","inconv","problematic","priority","priority"
"34","usual","very_crit","incomplete","2","less_conv","convenient","slightly_prob","priority","priority"
"35","pretentious","less_proper","completed","3","less_conv","inconv","slightly_prob","priority","priority"
"36","pretentious","improper","complete","more","critical","inconv","slightly_prob","not_recom","not_recom"
"37","usual","very_crit","complete","3","less_conv","inconv","slightly_prob","priority","priority"
"38","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"39","pretentious","very_crit","complete","more","critical","inconv","nonprob","priority","priority"
"40","great_pret","critical","complete","more","less_conv","inconv","nonprob","priority","priority"
"41","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"42","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"43","pretentious","very_crit","complete","1","critical","inconv","slightly_prob","priority","priority"
"44","pretentious","very_crit","complete","3","convenient","convenient","slightly_prob","priority","priority"
"45","pretentious","very_crit","completed","2","less_conv","inconv","slightly_prob","not_recom","priority"
"46","usual","very_crit","complete","more","convenient","inconv","slightly_prob","not_recom","priority"
"47","great_pret","very_crit","complete","more","critical","inconv","slightly_prob","priority","priority"
"48","great_pret","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"49","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"50","great_pret","very_crit","complete","3","less_conv","convenient","slightly_prob","priority","priority"
"51","pretentious","very_crit","complete","3","less_conv","inconv","slightly_prob","priority","priority"
"52","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"53","great_pret","improper","complete","more","less_conv","inconv","nonprob","priority","priority"
"54","pretentious","proper","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"55","pretentious","very_crit","complete","2","less_conv","inconv","slightly_prob","priority","priority"
"56","pretentious","very_crit","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"57","pretentious","very_crit","complete","more","critical","inconv","problematic","priority","spec_prior"
