"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","great_pret","improper","completed","more","convenient","inconv","nonprob","recommended","recommended"
"2","great_pret","improper","complete","more","critical","inconv","nonprob","recommended","recommended"
"3","pretentious","critical","incomplete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"4","usual","proper","complete","2","convenient","inconv","problematic","recommended","priority"
"5","pretentious","critical","incomplete","3","critical","inconv","problematic","not_recom","not_recom"
"6","usual","very_crit","completed","2","convenient","inconv","nonprob","priority","spec_prior"
"7","great_pret","proper","completed","2","convenient","inconv","slightly_prob","recommended","priority"
"8","great_pret","proper","foster","more","less_conv","inconv","nonprob","recommended","recommended"
"9","great_pret","improper","complete","1","critical","inconv","nonprob","recommended","recommended"
"10","usual","proper","completed","2","convenient","inconv","slightly_prob","recommended","priority"
"11","usual","proper","complete","2","convenient","inconv","problematic","recommended","priority"
"12","pretentious","critical","completed","2","convenient","convenient","problematic","not_recom","not_recom"
"13","usual","proper","complete","2","convenient","inconv","problematic","priority","priority"
"14","great_pret","less_proper","incomplete","2","convenient","convenient","problematic","recommended","priority"
"15","pretentious","critical","incomplete","1","less_conv","convenient","problematic","not_recom","not_recom"
"16","great_pret","very_crit","complete","3","critical","inconv","nonprob","recommended","spec_prior"
"17","pretentious","critical","incomplete","2","less_conv","convenient","problematic","not_recom","not_recom"
"18","great_pret","improper","complete","more","critical","inconv","nonprob","priority","spec_prior"
"19","pretentious","critical","incomplete","2","convenient","convenient","problematic","priority","spec_prior"
"20","pretentious","critical","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"21","usual","proper","incomplete","2","convenient","inconv","slightly_prob","recommended","priority"
"22","pretentious","less_proper","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"23","usual","proper","completed","2","critical","inconv","slightly_prob","not_recom","priority"
"24","great_pret","less_proper","foster","more","critical","inconv","nonprob","recommended","spec_prior"
"25","pretentious","critical","incomplete","2","less_conv","convenient","problematic","priority","not_recom"
"26","usual","proper","completed","2","convenient","inconv","slightly_prob","not_recom","not_recom"
"27","usual","proper","foster","2","convenient","inconv","slightly_prob","recommended","priority"
"28","great_pret","very_crit","complete","more","critical","inconv","slightly_prob","recommended","spec_prior"
"29","pretentious","critical","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"30","usual","proper","completed","2","convenient","inconv","slightly_prob","recommended","priority"
"31","pretentious","less_proper","incomplete","3","critical","convenient","slightly_prob","not_recom","not_recom"
"32","usual","proper","complete","2","convenient","inconv","problematic","priority","priority"
"33","pretentious","less_proper","incomplete","3","critical","convenient","problematic","priority","not_recom"
"34","usual","very_crit","incomplete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"35","pretentious","less_proper","completed","3","critical","convenient","slightly_prob","not_recom","not_recom"
"36","great_pret","improper","complete","1","critical","inconv","nonprob","not_recom","not_recom"
"37","usual","less_proper","incomplete","3","convenient","convenient","problematic","priority","priority"
"38","pretentious","less_proper","incomplete","3","convenient","convenient","problematic","priority","priority"
"39","usual","proper","completed","2","critical","inconv","nonprob","priority","priority"
"40","great_pret","critical","completed","2","convenient","inconv","nonprob","priority","priority"
"41","usual","proper","completed","2","less_conv","inconv","slightly_prob","recommended","priority"
"42","pretentious","very_crit","completed","2","convenient","inconv","slightly_prob","priority","priority"
"43","pretentious","proper","complete","1","critical","inconv","slightly_prob","recommended","priority"
"44","pretentious","less_proper","incomplete","3","convenient","convenient","slightly_prob","priority","priority"
"45","usual","proper","completed","2","convenient","inconv","slightly_prob","not_recom","priority"
"46","usual","critical","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"47","great_pret","improper","complete","1","critical","inconv","nonprob","recommended","recommended"
"48","great_pret","improper","complete","more","less_conv","inconv","nonprob","recommended","recommended"
"49","usual","proper","complete","2","convenient","inconv","slightly_prob","recommended","priority"
"50","great_pret","less_proper","incomplete","3","critical","convenient","problematic","priority","not_recom"
"51","pretentious","less_proper","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"52","pretentious","critical","incomplete","2","convenient","convenient","problematic","priority","not_recom"
"53","great_pret","improper","completed","2","less_conv","inconv","nonprob","not_recom","not_recom"
"54","usual","proper","completed","2","convenient","inconv","slightly_prob","not_recom","priority"
"55","usual","proper","completed","2","convenient","inconv","slightly_prob","not_recom","priority"
"56","pretentious","critical","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"57","great_pret","improper","complete","more","critical","inconv","problematic","priority","spec_prior"
"58","usual","proper","completed","2","convenient","inconv","slightly_prob","recommended","priority"
"59","great_pret","improper","completed","more","less_conv","inconv","nonprob","recommended","recommended"
"60","pretentious","less_proper","incomplete","3","critical","convenient","problematic","priority","priority"
"61","great_pret","less_proper","foster","more","less_conv","inconv","nonprob","recommended","recommended"
"62","usual","proper","completed","2","less_conv","inconv","nonprob","recommended","priority"
"63","pretentious","less_proper","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"64","pretentious","critical","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"65","pretentious","critical","incomplete","2","convenient","convenient","problematic","priority","not_recom"
"66","great_pret","critical","complete","3","critical","inconv","nonprob","priority","spec_prior"
"67","great_pret","improper","completed","more","less_conv","inconv","nonprob","recommended","recommended"
"68","pretentious","critical","incomplete","3","critical","convenient","problematic","not_recom","not_recom"
"69","pretentious","critical","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"70","great_pret","very_crit","incomplete","2","convenient","inconv","slightly_prob","not_recom","not_recom"
"71","usual","proper","completed","3","less_conv","inconv","problematic","recommended","priority"
"72","pretentious","critical","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"73","usual","proper","completed","2","less_conv","inconv","slightly_prob","recommended","priority"
"74","usual","improper","foster","more","less_conv","inconv","nonprob","not_recom","not_recom"
