"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","great_pret","very_crit","completed","2","critical","inconv","nonprob","not_recom","not_recom"
"2","great_pret","very_crit","completed","2","less_conv","convenient","nonprob","not_recom","not_recom"
"3","great_pret","improper","complete","1","critical","convenient","nonprob","not_recom","not_recom"
"4","great_pret","proper","complete","2","critical","convenient","nonprob","not_recom","not_recom"
"5","great_pret","very_crit","completed","2","convenient","convenient","nonprob","not_recom","not_recom"
"6","usual","critical","completed","more","convenient","inconv","nonprob","recommended","not_recom"
"7","usual","very_crit","completed","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"8","great_pret","proper","foster","1","critical","inconv","nonprob","not_recom","priority"
"9","usual","very_crit","completed","2","critical","convenient","slightly_prob","not_recom","not_recom"
"10","great_pret","critical","completed","more","critical","inconv","nonprob","not_recom","not_recom"
"11","pretentious","very_crit","completed","2","critical","convenient","problematic","not_recom","not_recom"
"12","pretentious","very_crit","foster","1","critical","inconv","slightly_prob","not_recom","spec_prior"
"13","great_pret","very_crit","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"14","usual","very_crit","completed","more","critical","convenient","nonprob","not_recom","not_recom"
"15","pretentious","proper","completed","3","less_conv","inconv","nonprob","recommended","priority"
"16","great_pret","very_crit","incomplete","2","less_conv","convenient","nonprob","not_recom","priority"
"17","great_pret","very_crit","incomplete","2","critical","inconv","problematic","not_recom","not_recom"
"18","great_pret","very_crit","completed","2","less_conv","convenient","nonprob","not_recom","spec_prior"
"19","great_pret","less_proper","foster","1","critical","inconv","nonprob","priority","not_recom"
"20","great_pret","very_crit","completed","2","less_conv","convenient","problematic","not_recom","not_recom"
"21","great_pret","very_crit","completed","3","convenient","convenient","nonprob","priority","not_recom"
"22","usual","improper","foster","2","critical","convenient","nonprob","not_recom","not_recom"
"23","great_pret","less_proper","completed","3","critical","convenient","nonprob","not_recom","not_recom"
"24","great_pret","less_proper","incomplete","1","critical","inconv","nonprob","recommended","priority"
"25","great_pret","very_crit","completed","more","less_conv","convenient","problematic","not_recom","not_recom"
"26","usual","critical","completed","more","critical","convenient","nonprob","not_recom","not_recom"
"27","great_pret","very_crit","foster","2","critical","convenient","nonprob","not_recom","not_recom"
"28","usual","proper","incomplete","3","critical","convenient","slightly_prob","not_recom","not_recom"
"29","pretentious","proper","complete","2","critical","convenient","nonprob","priority","priority"
"30","great_pret","very_crit","completed","2","critical","inconv","nonprob","not_recom","not_recom"
"31","great_pret","very_crit","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"32","great_pret","very_crit","completed","2","critical","convenient","nonprob","priority","not_recom"
"33","pretentious","very_crit","completed","1","convenient","inconv","slightly_prob","not_recom","priority"
"34","great_pret","less_proper","incomplete","2","convenient","convenient","nonprob","not_recom","not_recom"
"35","great_pret","proper","incomplete","1","less_conv","convenient","problematic","recommended","not_recom"
"36","usual","very_crit","complete","more","critical","convenient","nonprob","not_recom","not_recom"
"37","pretentious","critical","completed","3","critical","convenient","nonprob","not_recom","not_recom"
"38","usual","critical","completed","more","less_conv","convenient","nonprob","not_recom","not_recom"
"39","great_pret","very_crit","incomplete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"40","usual","critical","incomplete","more","critical","convenient","nonprob","not_recom","not_recom"
"41","great_pret","very_crit","completed","more","critical","inconv","nonprob","not_recom","not_recom"
"42","usual","very_crit","incomplete","2","critical","convenient","problematic","not_recom","spec_prior"
"43","pretentious","very_crit","completed","2","critical","convenient","slightly_prob","not_recom","not_recom"
"44","usual","proper","completed","1","convenient","convenient","nonprob","not_recom","very_recom"
"45","great_pret","very_crit","complete","2","critical","convenient","nonprob","not_recom","priority"
"46","pretentious","very_crit","completed","more","critical","convenient","nonprob","not_recom","not_recom"
"47","great_pret","very_crit","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"48","pretentious","improper","complete","more","convenient","convenient","nonprob","not_recom","not_recom"
"49","great_pret","very_crit","completed","3","less_conv","convenient","nonprob","not_recom","not_recom"
"50","usual","less_proper","completed","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"51","usual","very_crit","foster","2","critical","convenient","problematic","recommended","not_recom"
"52","great_pret","very_crit","completed","1","critical","convenient","slightly_prob","not_recom","not_recom"
"53","usual","very_crit","incomplete","more","critical","convenient","nonprob","not_recom","not_recom"
"54","great_pret","critical","completed","2","critical","convenient","problematic","not_recom","not_recom"
"55","great_pret","very_crit","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"56","usual","very_crit","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"57","pretentious","very_crit","foster","2","critical","convenient","problematic","not_recom","not_recom"
"58","great_pret","very_crit","completed","2","critical","convenient","slightly_prob","priority","priority"
"59","great_pret","very_crit","foster","2","less_conv","inconv","nonprob","not_recom","not_recom"
"60","great_pret","critical","completed","2","critical","inconv","nonprob","priority","not_recom"
"61","pretentious","very_crit","incomplete","2","critical","inconv","nonprob","not_recom","not_recom"
"62","pretentious","very_crit","completed","3","critical","convenient","nonprob","not_recom","not_recom"
"63","great_pret","very_crit","completed","more","critical","inconv","nonprob","not_recom","spec_prior"
"64","great_pret","improper","incomplete","more","critical","convenient","nonprob","recommended","spec_prior"
"65","great_pret","improper","completed","3","less_conv","convenient","nonprob","not_recom","not_recom"
"66","pretentious","very_crit","completed","2","critical","inconv","nonprob","not_recom","not_recom"
"67","great_pret","very_crit","complete","1","less_conv","convenient","nonprob","recommended","not_recom"
"68","great_pret","proper","foster","2","critical","inconv","slightly_prob","not_recom","not_recom"
"69","great_pret","proper","completed","2","critical","convenient","problematic","recommended","not_recom"
"70","great_pret","critical","completed","1","less_conv","convenient","problematic","not_recom","not_recom"
"71","great_pret","very_crit","foster","3","less_conv","inconv","problematic","recommended","spec_prior"
"72","great_pret","very_crit","incomplete","2","critical","convenient","problematic","priority","not_recom"
"73","pretentious","very_crit","completed","2","critical","convenient","problematic","not_recom","not_recom"
"74","great_pret","less_proper","foster","2","convenient","convenient","nonprob","priority","spec_prior"
"75","great_pret","very_crit","completed","2","less_conv","convenient","nonprob","not_recom","very_recom"
"76","great_pret","very_crit","completed","more","critical","convenient","nonprob","recommended","spec_prior"
"77","great_pret","very_crit","completed","2","critical","convenient","nonprob","not_recom","priority"
"78","pretentious","improper","complete","2","less_conv","inconv","nonprob","priority","priority"
"79","great_pret","proper","completed","2","critical","inconv","nonprob","not_recom","not_recom"
"80","pretentious","improper","incomplete","2","less_conv","convenient","nonprob","recommended","not_recom"
"81","pretentious","less_proper","completed","2","less_conv","convenient","nonprob","not_recom","not_recom"
"82","great_pret","very_crit","incomplete","2","convenient","convenient","problematic","not_recom","not_recom"
"83","great_pret","very_crit","completed","more","less_conv","inconv","slightly_prob","recommended","spec_prior"
"84","pretentious","critical","complete","more","critical","convenient","nonprob","not_recom","not_recom"
"85","great_pret","improper","complete","more","critical","convenient","nonprob","not_recom","priority"
"86","great_pret","less_proper","complete","2","critical","convenient","nonprob","not_recom","priority"
"87","great_pret","very_crit","completed","1","critical","convenient","nonprob","not_recom","not_recom"
"88","usual","critical","foster","3","convenient","inconv","nonprob","recommended","priority"
"89","usual","very_crit","completed","2","critical","convenient","nonprob","priority","spec_prior"
"90","great_pret","proper","completed","1","critical","convenient","nonprob","not_recom","spec_prior"
"91","usual","critical","completed","more","critical","convenient","problematic","not_recom","spec_prior"
"92","great_pret","less_proper","completed","more","critical","convenient","nonprob","priority","priority"
"93","great_pret","less_proper","incomplete","2","critical","inconv","nonprob","recommended","priority"
"94","great_pret","very_crit","complete","2","critical","convenient","problematic","not_recom","not_recom"
"95","pretentious","proper","completed","1","critical","convenient","nonprob","not_recom","not_recom"
"96","great_pret","very_crit","completed","3","convenient","convenient","nonprob","not_recom","not_recom"
"97","pretentious","very_crit","complete","2","convenient","convenient","nonprob","not_recom","priority"
"98","great_pret","less_proper","incomplete","2","convenient","convenient","nonprob","not_recom","not_recom"
"99","pretentious","less_proper","foster","2","critical","convenient","nonprob","not_recom","not_recom"
"100","great_pret","very_crit","foster","2","convenient","convenient","nonprob","not_recom","priority"
"101","great_pret","very_crit","completed","3","critical","convenient","nonprob","not_recom","not_recom"
"102","great_pret","very_crit","completed","1","critical","convenient","slightly_prob","recommended","priority"
"103","great_pret","very_crit","incomplete","more","less_conv","convenient","nonprob","not_recom","not_recom"
"104","great_pret","critical","completed","2","critical","convenient","nonprob","recommended","not_recom"
"105","usual","very_crit","incomplete","2","critical","inconv","problematic","not_recom","not_recom"
"106","great_pret","improper","completed","2","critical","convenient","problematic","not_recom","not_recom"
"107","great_pret","very_crit","completed","2","critical","convenient","nonprob","priority","priority"
"108","usual","very_crit","foster","2","convenient","convenient","nonprob","priority","priority"
