"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","2","4","1","2","3","inconv","1","1","not_recom"
"2","3","3","2","2","less_conv","convenient","1","not_recom","not_recom"
"3","great_pret","improper","complete","1","critical","1","1","not_recom","not_recom"
"4","great_pret","proper","complete","3","2","convenient","2","1","not_recom"
"5","3","3","2","2","convenient","2","1","not_recom","not_recom"
"6","usual","critical","2","more","convenient","inconv","1","recommended","priority"
"7","usual","1","2","4","convenient","1","slightly_prob","not_recom","not_recom"
"8","great_pret","proper","foster","1","critical","inconv","1","3","priority"
"9","usual","1","2","4","1","convenient","slightly_prob","1","not_recom"
"10","great_pret","critical","2","more","1","inconv","nonprob","3","priority"
"11","pretentious","5","4","3","2","convenient","problematic","2","recommended"
"12","pretentious","5","foster","1","critical","inconv","slightly_prob","2","spec_prior"
"13","great_pret","3","completed","3","1","2","1","not_recom","not_recom"
"14","usual","5","4","more","2","convenient","nonprob","2","recommended"
"15","pretentious","proper","1","3","less_conv","inconv","3","recommended","priority"
"16","great_pret","3","incomplete","1","less_conv","1","nonprob","3","priority"
"17","great_pret","2","incomplete","2","3","inconv","problematic","not_recom","not_recom"
"18","1","5","4","3","less_conv","2","2","2","spec_prior"
"19","great_pret","less_proper","foster","1","2","inconv","2","priority","recommended"
"20","3","3","completed","2","less_conv","2","problematic","1","not_recom"
"21","1","5","4","3","convenient","2","2","priority","recommended"
"22","usual","improper","foster","2","3","2","nonprob","1","not_recom"
"23","great_pret","less_proper","1","3","3","2","nonprob","not_recom","not_recom"
"24","great_pret","less_proper","incomplete","1","critical","inconv","1","recommended","priority"
"25","1","5","4","more","less_conv","convenient","problematic","2","recommended"
"26","usual","critical","2","more","3","1","1","1","not_recom"
"27","3","3","foster","2","3","2","1","not_recom","not_recom"
"28","usual","proper","incomplete","3","1","2","slightly_prob","1","not_recom"
"29","pretentious","proper","complete","1","2","convenient","1","priority","priority"
"30","2","4","1","2","3","inconv","1","1","not_recom"
"31","2","4","1","2","critical","convenient","nonprob","1","not_recom"
"32","1","5","4","3","critical","2","nonprob","priority","recommended"
"33","pretentious","very_crit","3","1","convenient","inconv","slightly_prob","3","priority"
"34","great_pret","less_proper","incomplete","2","convenient","convenient","nonprob","1","not_recom"
"35","1","proper","incomplete","1","less_conv","convenient","problematic","recommended","recommended"
"36","usual","3","complete","more","1","2","nonprob","not_recom","not_recom"
"37","pretentious","critical","1","3","3","2","1","1","not_recom"
"38","usual","critical","2","more","less_conv","1","1","1","not_recom"
"39","great_pret","1","incomplete","2","convenient","1","slightly_prob","not_recom","not_recom"
"40","usual","critical","incomplete","more","2","1","nonprob","1","not_recom"
"41","2","4","1","more","3","inconv","1","1","not_recom"
"42","usual","very_crit","incomplete","2","3","2","problematic","2","spec_prior"
"43","pretentious","very_crit","2","4","critical","convenient","slightly_prob","not_recom","not_recom"
"44","usual","proper","2","1","convenient","convenient","nonprob","3","very_recom"
"45","3","3","complete","2","3","convenient","nonprob","3","priority"
"46","pretentious","4","completed","more","2","1","3","not_recom","not_recom"
"47","great_pret","4","1","2","3","1","1","not_recom","not_recom"
"48","pretentious","improper","complete","more","convenient","convenient","1","1","not_recom"
"49","1","5","4","3","less_conv","2","2","2","recommended"
"50","usual","less_proper","2","2","less_conv","inconv","slightly_prob","1","not_recom"
"51","usual","3","foster","1","2","2","problematic","recommended","priority"
"52","1","very_crit","4","1","2","1","slightly_prob","2","recommended"
"53","usual","4","incomplete","more","critical","1","nonprob","not_recom","not_recom"
"54","3","critical","2","2","3","1","problematic","not_recom","not_recom"
"55","2","4","1","2","3","convenient","nonprob","1","not_recom"
"56","usual","2","1","2","3","2","1","1","not_recom"
"57","pretentious","4","foster","4","2","convenient","problematic","not_recom","not_recom"
"58","3","3","2","2","1","2","slightly_prob","priority","priority"
"59","3","very_crit","foster","2","less_conv","inconv","1","not_recom","not_recom"
"60","2","critical","1","2","critical","inconv","1","priority","priority"
"61","pretentious","4","incomplete","2","3","inconv","nonprob","not_recom","not_recom"
"62","pretentious","4","1","3","critical","1","nonprob","not_recom","not_recom"
"63","great_pret","5","4","more","2","inconv","2","2","spec_prior"
"64","great_pret","improper","incomplete","more","2","convenient","2","recommended","spec_prior"
"65","2","improper","1","3","less_conv","convenient","3","3","priority"
"66","pretentious","3","2","2","1","inconv","nonprob","3","priority"
"67","2","4","complete","1","less_conv","convenient","3","recommended","priority"
"68","2","proper","foster","2","3","inconv","slightly_prob","not_recom","not_recom"
"69","great_pret","proper","2","2","3","2","problematic","recommended","priority"
"70","great_pret","critical","completed","1","less_conv","convenient","problematic","3","priority"
"71","1","very_crit","foster","3","less_conv","inconv","problematic","recommended","spec_prior"
"72","1","5","incomplete","2","critical","2","problematic","priority","recommended"
"73","pretentious","2","1","2","3","2","problematic","not_recom","not_recom"
"74","great_pret","less_proper","foster","3","convenient","2","2","priority","spec_prior"
"75","3","3","2","2","less_conv","1","1","3","very_recom"
"76","1","5","4","more","critical","convenient","2","recommended","spec_prior"
"77","3","3","completed","2","1","2","1","3","priority"
"78","pretentious","improper","complete","2","less_conv","inconv","1","priority","priority"
"79","2","proper","1","2","critical","inconv","1","1","not_recom"
"80","pretentious","improper","incomplete","2","less_conv","convenient","nonprob","recommended","priority"
"81","pretentious","less_proper","2","2","less_conv","2","1","1","not_recom"
"82","1","5","incomplete","3","convenient","2","problematic","not_recom","not_recom"
"83","1","5","4","more","less_conv","inconv","slightly_prob","recommended","spec_prior"
"84","pretentious","critical","complete","more","critical","1","1","1","not_recom"
"85","great_pret","improper","complete","more","2","1","1","3","priority"
"86","great_pret","less_proper","complete","1","2","1","nonprob","3","priority"
"87","great_pret","very_crit","4","1","2","1","nonprob","not_recom","not_recom"
"88","usual","critical","foster","3","convenient","inconv","nonprob","recommended","priority"
"89","usual","very_crit","4","2","critical","convenient","nonprob","priority","spec_prior"
"90","great_pret","proper","4","1","2","convenient","nonprob","2","spec_prior"
"91","usual","critical","2","more","critical","1","problematic","2","spec_prior"
"92","3","less_proper","completed","more","critical","convenient","1","priority","priority"
"93","great_pret","less_proper","incomplete","1","1","inconv","nonprob","recommended","priority"
"94","great_pret","5","complete","3","2","2","problematic","1","not_recom"
"95","pretentious","proper","completed","1","2","convenient","2","2","recommended"
"96","3","3","completed","3","convenient","convenient","nonprob","1","not_recom"
"97","pretentious","4","complete","2","convenient","convenient","nonprob","3","priority"
"98","great_pret","less_proper","incomplete","1","convenient","1","1","1","not_recom"
"99","pretentious","less_proper","foster","1","2","1","1","3","priority"
"100","great_pret","3","foster","1","convenient","2","1","3","priority"
"101","great_pret","very_crit","completed","3","1","2","3","not_recom","not_recom"
"102","3","very_crit","2","1","1","convenient","slightly_prob","recommended","priority"
"103","3","3","incomplete","more","less_conv","1","1","not_recom","not_recom"
"104","great_pret","critical","2","2","3","2","1","recommended","priority"
"105","usual","2","incomplete","2","3","inconv","problematic","not_recom","not_recom"
"106","great_pret","improper","4","2","critical","2","problematic","2","recommended"
"107","3","3","completed","2","1","2","1","priority","priority"
"108","usual","3","foster","1","convenient","convenient","nonprob","priority","priority"
"109","1","very_crit","4","2","critical","2","2","recommended","spec_prior"
"110","usual","very_crit","2","4","critical","1","3","1","not_recom"
"111","great_pret","improper","complete","2","less_conv","2","nonprob","not_recom","not_recom"
"112","usual","proper","1","1","critical","1","nonprob","3","priority"
"113","2","critical","1","2","convenient","1","1","recommended","priority"
"114","3","3","2","2","less_conv","1","nonprob","1","not_recom"
"115","pretentious","proper","2","2","convenient","convenient","slightly_prob","3","priority"
"116","3","3","2","2","3","inconv","1","not_recom","not_recom"
"117","great_pret","proper","2","more","3","convenient","1","1","not_recom"
"118","pretentious","critical","completed","3","critical","convenient","problematic","2","recommended"
"119","great_pret","proper","incomplete","1","2","inconv","2","2","recommended"
"120","pretentious","proper","completed","more","convenient","inconv","1","priority","priority"
"121","1","very_crit","4","3","2","1","2","1","not_recom"
"122","2","proper","complete","1","critical","1","problematic","recommended","priority"
"123","pretentious","improper","2","4","convenient","convenient","slightly_prob","not_recom","not_recom"
"124","great_pret","less_proper","3","3","convenient","convenient","3","priority","recommended"
"125","1","very_crit","4","3","2","convenient","2","priority","spec_prior"
"126","pretentious","5","foster","more","2","1","problematic","priority","recommended"
"127","usual","3","incomplete","2","1","inconv","nonprob","not_recom","not_recom"
"128","great_pret","3","2","2","1","2","nonprob","3","priority"
"129","usual","3","2","2","3","2","nonprob","not_recom","not_recom"
"130","pretentious","very_crit","2","4","2","convenient","2","1","not_recom"
"131","3","critical","2","more","convenient","convenient","1","not_recom","not_recom"
"132","1","critical","4","3","2","inconv","slightly_prob","priority","spec_prior"
"133","great_pret","5","foster","3","convenient","2","slightly_prob","recommended","spec_prior"
"134","1","5","4","3","2","inconv","2","recommended","recommended"
"135","pretentious","very_crit","completed","1","less_conv","1","nonprob","3","priority"
"136","2","improper","1","1","convenient","1","nonprob","1","not_recom"
"137","3","3","completed","more","3","1","problematic","not_recom","not_recom"
"138","pretentious","less_proper","complete","more","2","inconv","nonprob","1","not_recom"
"139","3","less_proper","2","2","3","inconv","problematic","3","priority"
"140","1","very_crit","incomplete","1","critical","convenient","2","recommended","recommended"
"141","usual","less_proper","2","3","convenient","inconv","3","recommended","priority"
"142","pretentious","2","complete","2","less_conv","2","problematic","not_recom","not_recom"
"143","1","5","complete","3","convenient","2","2","priority","recommended"
"144","3","3","2","2","less_conv","1","nonprob","not_recom","not_recom"
"145","great_pret","4","1","2","3","1","1","not_recom","not_recom"
"146","great_pret","less_proper","incomplete","1","2","1","problematic","1","not_recom"
"147","1","5","4","3","convenient","2","problematic","2","recommended"
"148","pretentious","proper","completed","1","critical","convenient","slightly_prob","priority","priority"
"149","pretentious","5","complete","3","less_conv","2","problematic","recommended","spec_prior"
"150","3","3","complete","more","convenient","inconv","1","not_recom","not_recom"
"151","3","3","foster","3","less_conv","2","nonprob","recommended","priority"
"152","1","improper","complete","3","convenient","inconv","slightly_prob","priority","spec_prior"
"153","1","5","4","3","2","inconv","2","2","recommended"
"154","2","proper","incomplete","4","less_conv","convenient","slightly_prob","not_recom","not_recom"
"155","pretentious","1","incomplete","more","convenient","convenient","3","1","not_recom"
"156","great_pret","5","foster","2","3","2","2","recommended","recommended"
"157","great_pret","3","incomplete","2","convenient","inconv","nonprob","recommended","priority"
"158","pretentious","very_crit","foster","3","convenient","2","slightly_prob","recommended","priority"
"159","1","5","incomplete","3","less_conv","convenient","problematic","2","spec_prior"
"160","usual","improper","foster","3","less_conv","2","slightly_prob","priority","recommended"
"161","3","3","2","4","3","convenient","slightly_prob","not_recom","not_recom"
"162","1","5","4","3","2","inconv","2","recommended","recommended"
"163","2","4","complete","2","3","1","1","1","not_recom"
"164","1","5","complete","3","2","inconv","problematic","2","spec_prior"
"165","usual","critical","incomplete","2","1","2","nonprob","3","priority"
"166","pretentious","improper","incomplete","more","less_conv","inconv","2","not_recom","not_recom"
"167","2","improper","1","1","3","1","slightly_prob","1","not_recom"
"168","pretentious","proper","completed","3","1","convenient","slightly_prob","1","not_recom"
"169","great_pret","improper","3","1","2","2","slightly_prob","1","not_recom"
"170","usual","improper","completed","more","less_conv","convenient","1","priority","priority"
"171","great_pret","2","complete","2","3","inconv","2","1","not_recom"
"172","3","very_crit","2","1","convenient","convenient","1","priority","priority"
"173","1","5","complete","3","2","inconv","2","priority","recommended"
