"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","pretentious","critical","completed","3","critical","convenient","slightly_prob","recommended","very_recom"
"2","pretentious","critical","completed","3","critical","inconv","slightly_prob","priority","not_recom"
"3","pretentious","improper","complete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"4","usual","proper","foster","3","critical","inconv","slightly_prob","priority","priority"
"5","pretentious","critical","completed","3","less_conv","convenient","slightly_prob","priority","not_recom"
"6","usual","very_crit","completed","2","critical","inconv","nonprob","priority","not_recom"
"7","great_pret","critical","completed","3","convenient","convenient","slightly_prob","recommended","not_recom"
"8","great_pret","proper","foster","more","convenient","inconv","slightly_prob","priority","priority"
"9","pretentious","critical","completed","3","critical","convenient","nonprob","priority","not_recom"
"10","usual","proper","completed","3","critical","inconv","nonprob","recommended","not_recom"
"11","usual","critical","completed","3","critical","convenient","problematic","not_recom","not_recom"
"12","pretentious","critical","completed","1","critical","convenient","problematic","priority","not_recom"
"13","usual","critical","complete","more","critical","convenient","slightly_prob","priority","priority"
"14","great_pret","critical","completed","2","critical","convenient","nonprob","priority","not_recom"
"15","pretentious","less_proper","completed","1","less_conv","inconv","nonprob","not_recom","not_recom"
"16","great_pret","critical","completed","3","convenient","inconv","slightly_prob","priority","spec_prior"
"17","great_pret","critical","completed","3","critical","convenient","problematic","priority","priority"
"18","pretentious","proper","completed","3","less_conv","convenient","slightly_prob","priority","spec_prior"
"19","pretentious","critical","foster","1","critical","inconv","slightly_prob","recommended","not_recom"
"20","pretentious","critical","completed","3","critical","convenient","nonprob","priority","not_recom"
"21","pretentious","critical","completed","3","critical","convenient","slightly_prob","recommended","not_recom"
"22","great_pret","proper","completed","3","critical","convenient","problematic","priority","not_recom"
"23","pretentious","critical","completed","2","critical","convenient","nonprob","not_recom","not_recom"
"24","great_pret","less_proper","incomplete","1","critical","inconv","slightly_prob","priority","spec_prior"
"25","pretentious","very_crit","completed","1","less_conv","inconv","slightly_prob","priority","spec_prior"
"26","usual","less_proper","completed","more","critical","convenient","slightly_prob","priority","not_recom"
"27","pretentious","critical","foster","3","critical","convenient","slightly_prob","priority","not_recom"
"28","usual","very_crit","complete","2","critical","convenient","slightly_prob","priority","spec_prior"
"29","pretentious","critical","incomplete","3","critical","inconv","slightly_prob","priority","spec_prior"
"30","pretentious","critical","completed","2","critical","convenient","nonprob","priority","not_recom"
"31","pretentious","critical","completed","3","critical","convenient","slightly_prob","priority","priority"
"32","pretentious","critical","completed","3","less_conv","convenient","nonprob","priority","not_recom"
"33","pretentious","less_proper","completed","3","less_conv","convenient","problematic","priority","priority"
"34","usual","very_crit","incomplete","2","convenient","convenient","nonprob","priority","not_recom"
"35","pretentious","less_proper","completed","3","less_conv","inconv","slightly_prob","recommended","not_recom"
"36","usual","critical","foster","2","critical","convenient","nonprob","not_recom","not_recom"
"37","usual","less_proper","completed","3","critical","convenient","problematic","priority","not_recom"
"38","pretentious","very_crit","completed","1","less_conv","convenient","slightly_prob","priority","priority"
"39","usual","critical","foster","3","critical","convenient","nonprob","priority","priority"
"40","great_pret","critical","complete","1","critical","convenient","nonprob","priority","priority"
"41","pretentious","critical","completed","2","less_conv","inconv","slightly_prob","priority","spec_prior"
"42","pretentious","very_crit","incomplete","3","critical","convenient","problematic","priority","spec_prior"
"43","pretentious","critical","completed","3","critical","convenient","slightly_prob","priority","spec_prior"
"44","pretentious","critical","completed","3","convenient","convenient","slightly_prob","priority","spec_prior"
"45","pretentious","critical","completed","3","less_conv","convenient","slightly_prob","priority","not_recom"
"46","usual","critical","complete","2","critical","convenient","slightly_prob","not_recom","not_recom"
"47","great_pret","critical","completed","3","critical","convenient","slightly_prob","recommended","spec_prior"
"48","great_pret","critical","complete","1","less_conv","inconv","slightly_prob","priority","not_recom"
"49","pretentious","less_proper","completed","1","less_conv","convenient","slightly_prob","priority","not_recom"
"50","great_pret","improper","completed","3","convenient","convenient","slightly_prob","priority","not_recom"
"51","great_pret","critical","complete","3","critical","inconv","nonprob","recommended","not_recom"
"52","pretentious","less_proper","completed","2","critical","convenient","slightly_prob","priority","not_recom"
"53","great_pret","critical","complete","3","convenient","convenient","nonprob","recommended","spec_prior"
"54","pretentious","proper","completed","more","critical","convenient","slightly_prob","priority","not_recom"
"55","pretentious","critical","completed","3","critical","inconv","slightly_prob","priority","not_recom"
"56","pretentious","critical","completed","3","critical","convenient","nonprob","priority","not_recom"
"57","pretentious","critical","complete","3","critical","inconv","problematic","priority","spec_prior"
"58","pretentious","critical","foster","2","critical","convenient","nonprob","priority","priority"
"59","pretentious","very_crit","completed","more","less_conv","inconv","slightly_prob","not_recom","not_recom"
"60","pretentious","proper","completed","3","convenient","convenient","slightly_prob","recommended","not_recom"
"61","usual","critical","complete","3","critical","inconv","problematic","recommended","priority"
"62","usual","critical","completed","more","less_conv","convenient","nonprob","priority","priority"
"63","great_pret","critical","completed","3","critical","convenient","nonprob","priority","spec_prior"
"64","usual","very_crit","incomplete","1","critical","convenient","slightly_prob","recommended","priority"
"65","pretentious","very_crit","completed","more","less_conv","convenient","problematic","priority","not_recom"
"66","usual","critical","complete","3","critical","inconv","nonprob","priority","not_recom"
"67","pretentious","critical","completed","2","convenient","convenient","slightly_prob","priority","not_recom"
"68","pretentious","critical","foster","3","critical","convenient","slightly_prob","not_recom","not_recom"
"69","pretentious","less_proper","completed","3","critical","convenient","problematic","priority","not_recom"
"70","great_pret","very_crit","incomplete","2","critical","inconv","slightly_prob","priority","not_recom"
"71","pretentious","proper","completed","3","less_conv","inconv","problematic","recommended","priority"
"72","pretentious","critical","incomplete","3","critical","convenient","problematic","priority","not_recom"
"73","pretentious","critical","completed","3","critical","convenient","problematic","not_recom","not_recom"
"74","usual","improper","foster","3","less_conv","convenient","slightly_prob","not_recom","not_recom"
"75","pretentious","improper","completed","3","convenient","convenient","slightly_prob","priority","priority"
"76","pretentious","improper","completed","1","less_conv","inconv","slightly_prob","recommended","priority"
"77","pretentious","critical","foster","3","critical","convenient","slightly_prob","priority","priority"
"78","great_pret","improper","incomplete","1","critical","convenient","slightly_prob","priority","spec_prior"
"79","pretentious","less_proper","completed","3","less_conv","inconv","slightly_prob","priority","not_recom"
"80","usual","less_proper","completed","more","critical","inconv","nonprob","recommended","not_recom"
"81","great_pret","less_proper","completed","3","critical","convenient","slightly_prob","priority","not_recom"
