"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","usual","proper","complete","3","convenient","convenient","nonprob","recommended","very_recom"
"2","usual","critical","completed","1","critical","inconv","nonprob","priority","spec_prior"
"3","pretentious","improper","complete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"4","usual","proper","foster","3","critical","inconv","slightly_prob","recommended","priority"
"5","pretentious","critical","foster","more","less_conv","inconv","problematic","priority","spec_prior"
"6","usual","very_crit","completed","2","critical","inconv","problematic","priority","spec_prior"
"7","great_pret","improper","foster","2","convenient","convenient","slightly_prob","recommended","priority"
"8","great_pret","proper","foster","more","convenient","inconv","nonprob","recommended","priority"
"9","pretentious","improper","foster","1","convenient","convenient","nonprob","not_recom","not_recom"
"10","usual","proper","complete","3","less_conv","inconv","nonprob","recommended","priority"
"11","usual","very_crit","completed","2","critical","convenient","problematic","not_recom","not_recom"
"12","pretentious","critical","completed","1","critical","convenient","problematic","not_recom","not_recom"
"13","usual","less_proper","complete","1","critical","convenient","problematic","priority","priority"
"14","great_pret","critical","foster","2","convenient","convenient","nonprob","recommended","spec_prior"
"15","pretentious","less_proper","incomplete","1","less_conv","inconv","nonprob","not_recom","not_recom"
"16","great_pret","less_proper","completed","3","convenient","inconv","slightly_prob","priority","spec_prior"
"17","great_pret","less_proper","completed","1","less_conv","convenient","problematic","priority","priority"
"18","great_pret","very_crit","foster","more","less_conv","convenient","problematic","priority","spec_prior"
"19","pretentious","critical","foster","1","less_conv","inconv","problematic","recommended","spec_prior"
"20","great_pret","very_crit","completed","3","critical","convenient","nonprob","priority","spec_prior"
"21","usual","less_proper","incomplete","3","critical","convenient","nonprob","recommended","priority"
"22","great_pret","proper","completed","3","critical","inconv","problematic","not_recom","not_recom"
"23","pretentious","critical","foster","2","critical","inconv","nonprob","not_recom","not_recom"
"24","great_pret","less_proper","incomplete","1","critical","inconv","nonprob","priority","spec_prior"
"25","pretentious","critical","incomplete","1","less_conv","inconv","slightly_prob","priority","priority"
"26","usual","less_proper","complete","more","convenient","inconv","slightly_prob","not_recom","not_recom"
"27","pretentious","less_proper","foster","1","less_conv","convenient","nonprob","priority","priority"
"28","usual","very_crit","complete","2","critical","inconv","slightly_prob","priority","spec_prior"
"29","pretentious","critical","incomplete","3","less_conv","inconv","problematic","priority","spec_prior"
"30","pretentious","proper","complete","2","convenient","convenient","slightly_prob","recommended","priority"
"31","great_pret","proper","foster","3","critical","convenient","slightly_prob","recommended","spec_prior"
"32","usual","critical","foster","more","less_conv","inconv","nonprob","priority","spec_prior"
"33","pretentious","less_proper","foster","3","less_conv","convenient","problematic","recommended","priority"
"34","usual","very_crit","incomplete","2","convenient","convenient","nonprob","priority","spec_prior"
"35","great_pret","less_proper","completed","3","less_conv","inconv","slightly_prob","recommended","priority"
"36","usual","improper","foster","2","critical","inconv","nonprob","not_recom","not_recom"
"37","usual","less_proper","completed","3","convenient","inconv","slightly_prob","priority","priority"
"38","pretentious","very_crit","completed","1","less_conv","inconv","slightly_prob","recommended","spec_prior"
"39","usual","less_proper","foster","3","critical","inconv","nonprob","priority","priority"
"40","great_pret","critical","complete","1","less_conv","inconv","nonprob","recommended","priority"
"41","great_pret","less_proper","foster","2","critical","inconv","slightly_prob","priority","spec_prior"
"42","pretentious","very_crit","incomplete","3","convenient","convenient","problematic","priority","spec_prior"
"43","pretentious","critical","foster","1","critical","convenient","slightly_prob","priority","spec_prior"
"44","pretentious","critical","incomplete","3","convenient","convenient","slightly_prob","priority","spec_prior"
"45","pretentious","proper","completed","2","less_conv","convenient","slightly_prob","not_recom","not_recom"
"46","usual","very_crit","complete","2","convenient","convenient","slightly_prob","not_recom","not_recom"
"47","great_pret","very_crit","foster","more","critical","inconv","problematic","recommended","spec_prior"
"48","great_pret","critical","complete","1","less_conv","inconv","problematic","not_recom","not_recom"
"49","pretentious","less_proper","complete","1","less_conv","convenient","problematic","recommended","priority"
"50","great_pret","improper","foster","3","convenient","convenient","slightly_prob","recommended","priority"
"51","great_pret","improper","complete","3","less_conv","inconv","nonprob","recommended","spec_prior"
"52","great_pret","less_proper","complete","2","critical","inconv","slightly_prob","priority","spec_prior"
"53","great_pret","improper","complete","3","convenient","inconv","nonprob","recommended","spec_prior"
"54","pretentious","proper","complete","more","convenient","inconv","slightly_prob","priority","priority"
"55","pretentious","very_crit","incomplete","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"56","pretentious","less_proper","incomplete","3","less_conv","convenient","nonprob","recommended","priority"
"57","pretentious","very_crit","complete","more","critical","inconv","problematic","priority","spec_prior"
"58","usual","less_proper","complete","1","convenient","convenient","nonprob","priority","priority"
"59","pretentious","very_crit","completed","more","less_conv","inconv","slightly_prob","not_recom","not_recom"
"60","pretentious","proper","complete","1","convenient","convenient","nonprob","recommended","priority"
"61","usual","less_proper","complete","more","critical","inconv","problematic","recommended","priority"
"62","usual","less_proper","completed","more","less_conv","inconv","nonprob","priority","priority"
"63","great_pret","very_crit","completed","3","critical","convenient","problematic","recommended","spec_prior"
"64","usual","very_crit","incomplete","1","convenient","convenient","nonprob","recommended","priority"
"65","pretentious","very_crit","incomplete","more","less_conv","convenient","problematic","priority","spec_prior"
"66","usual","critical","foster","3","convenient","inconv","nonprob","priority","spec_prior"
"67","pretentious","improper","completed","2","convenient","convenient","slightly_prob","priority","priority"
"68","pretentious","critical","foster","3","less_conv","convenient","slightly_prob","not_recom","not_recom"
"69","pretentious","less_proper","foster","1","less_conv","convenient","problematic","priority","priority"
"70","great_pret","very_crit","incomplete","2","critical","inconv","slightly_prob","not_recom","not_recom"
"71","usual","proper","completed","3","less_conv","inconv","problematic","recommended","priority"
"72","usual","critical","incomplete","3","critical","convenient","problematic","priority","spec_prior"
"73","pretentious","critical","completed","3","less_conv","inconv","problematic","not_recom","not_recom"
"74","usual","improper","foster","1","less_conv","convenient","nonprob","not_recom","not_recom"
"75","pretentious","proper","completed","3","convenient","convenient","slightly_prob","recommended","priority"
"76","usual","less_proper","incomplete","1","less_conv","inconv","nonprob","recommended","priority"
"77","usual","proper","foster","3","less_conv","convenient","slightly_prob","recommended","priority"
"78","great_pret","improper","incomplete","1","critical","convenient","slightly_prob","priority","spec_prior"
"79","usual","less_proper","incomplete","3","less_conv","inconv","problematic","recommended","priority"
"80","usual","less_proper","completed","more","critical","inconv","nonprob","recommended","priority"
"81","great_pret","less_proper","foster","1","critical","convenient","nonprob","recommended","priority"
"82","usual","less_proper","foster","2","convenient","convenient","problematic","not_recom","not_recom"
"83","usual","critical","incomplete","2","critical","convenient","slightly_prob","recommended","priority"
"84","great_pret","proper","completed","3","convenient","convenient","nonprob","priority","priority"
"85","usual","less_proper","completed","3","convenient","inconv","nonprob","not_recom","not_recom"
"86","usual","less_proper","complete","1","less_conv","inconv","slightly_prob","not_recom","not_recom"
"87","pretentious","improper","foster","more","less_conv","inconv","slightly_prob","recommended","priority"
"88","great_pret","very_crit","complete","2","less_conv","convenient","nonprob","priority","spec_prior"
"89","great_pret","very_crit","foster","more","less_conv","convenient","slightly_prob","priority","spec_prior"
"90","pretentious","less_proper","completed","more","critical","convenient","slightly_prob","recommended","priority"
"91","pretentious","proper","complete","3","less_conv","inconv","problematic","priority","priority"
"92","great_pret","improper","foster","more","critical","inconv","slightly_prob","not_recom","not_recom"
"93","pretentious","proper","completed","1","critical","inconv","slightly_prob","priority","priority"
"94","usual","proper","foster","1","convenient","convenient","slightly_prob","priority","priority"
"95","usual","critical","completed","2","convenient","convenient","nonprob","not_recom","not_recom"
"96","usual","proper","foster","3","critical","convenient","slightly_prob","not_recom","not_recom"
"97","pretentious","critical","foster","more","convenient","inconv","problematic","priority","spec_prior"
"98","pretentious","proper","complete","1","convenient","convenient","nonprob","not_recom","not_recom"
"99","great_pret","proper","complete","2","convenient","inconv","slightly_prob","priority","priority"
"100","great_pret","less_proper","complete","more","critical","convenient","problematic","not_recom","not_recom"
"101","great_pret","critical","incomplete","more","less_conv","inconv","nonprob","not_recom","not_recom"
"102","usual","improper","incomplete","3","critical","convenient","nonprob","recommended","priority"
"103","great_pret","very_crit","completed","2","convenient","convenient","problematic","not_recom","not_recom"
"104","great_pret","proper","completed","1","less_conv","convenient","slightly_prob","recommended","priority"
"105","great_pret","improper","incomplete","2","convenient","convenient","nonprob","not_recom","not_recom"
"106","pretentious","improper","completed","more","convenient","convenient","problematic","not_recom","not_recom"
"107","pretentious","very_crit","completed","3","less_conv","inconv","problematic","recommended","spec_prior"
"108","usual","critical","completed","more","less_conv","convenient","nonprob","not_recom","not_recom"
"109","great_pret","critical","incomplete","2","critical","convenient","slightly_prob","recommended","spec_prior"
"110","usual","critical","completed","more","less_conv","convenient","problematic","not_recom","not_recom"
"111","great_pret","very_crit","completed","more","convenient","inconv","nonprob","recommended","spec_prior"
"112","usual","proper","complete","1","less_conv","inconv","problematic","not_recom","not_recom"
"113","pretentious","proper","complete","3","less_conv","convenient","nonprob","recommended","priority"
"114","usual","critical","complete","1","convenient","inconv","problematic","recommended","priority"
"115","pretentious","less_proper","incomplete","more","convenient","convenient","problematic","not_recom","not_recom"
"116","great_pret","improper","foster","more","less_conv","inconv","nonprob","priority","spec_prior"
"117","great_pret","less_proper","completed","1","convenient","convenient","problematic","recommended","priority"
"118","great_pret","critical","foster","more","less_conv","convenient","nonprob","priority","spec_prior"
"119","usual","proper","foster","more","less_conv","inconv","nonprob","priority","priority"
"120","usual","critical","foster","1","critical","convenient","problematic","recommended","spec_prior"
"121","great_pret","less_proper","incomplete","more","convenient","inconv","problematic","recommended","spec_prior"
"122","pretentious","critical","complete","more","convenient","inconv","nonprob","recommended","spec_prior"
"123","usual","very_crit","incomplete","2","convenient","inconv","problematic","priority","spec_prior"
"124","pretentious","improper","incomplete","2","convenient","convenient","nonprob","priority","priority"
"125","usual","very_crit","foster","more","less_conv","inconv","slightly_prob","priority","spec_prior"
"126","usual","improper","incomplete","more","less_conv","convenient","nonprob","not_recom","not_recom"
"127","pretentious","very_crit","completed","2","critical","convenient","problematic","not_recom","not_recom"
"128","pretentious","proper","incomplete","3","convenient","convenient","slightly_prob","recommended","priority"
"129","usual","less_proper","completed","1","critical","inconv","problematic","priority","spec_prior"
"130","pretentious","proper","complete","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"131","great_pret","less_proper","complete","more","less_conv","convenient","nonprob","recommended","priority"
"132","pretentious","less_proper","completed","more","critical","inconv","problematic","not_recom","not_recom"
"133","usual","critical","foster","3","less_conv","convenient","slightly_prob","priority","spec_prior"
"134","usual","less_proper","complete","more","critical","inconv","nonprob","not_recom","not_recom"
"135","usual","critical","foster","more","less_conv","convenient","nonprob","priority","spec_prior"
"136","pretentious","less_proper","complete","3","convenient","inconv","nonprob","recommended","priority"
"137","usual","proper","complete","more","critical","convenient","problematic","recommended","priority"
"138","great_pret","improper","foster","more","convenient","convenient","slightly_prob","not_recom","not_recom"
"139","great_pret","less_proper","completed","3","convenient","inconv","slightly_prob","not_recom","not_recom"
"140","usual","proper","incomplete","1","less_conv","convenient","nonprob","priority","priority"
"141","usual","proper","complete","more","less_conv","inconv","slightly_prob","priority","priority"
"142","great_pret","improper","completed","3","less_conv","inconv","nonprob","not_recom","not_recom"
"143","usual","critical","complete","1","critical","inconv","nonprob","not_recom","not_recom"
"144","great_pret","very_crit","incomplete","2","critical","inconv","nonprob","priority","spec_prior"
"145","usual","very_crit","foster","1","less_conv","convenient","problematic","not_recom","not_recom"
"146","great_pret","improper","complete","3","less_conv","convenient","slightly_prob","priority","spec_prior"
"147","pretentious","very_crit","incomplete","1","critical","inconv","slightly_prob","priority","spec_prior"
"148","pretentious","improper","foster","3","critical","convenient","nonprob","not_recom","not_recom"
"149","usual","improper","complete","3","convenient","inconv","nonprob","not_recom","not_recom"
"150","pretentious","less_proper","complete","more","less_conv","inconv","nonprob","priority","priority"
"151","great_pret","critical","incomplete","2","less_conv","convenient","nonprob","priority","spec_prior"
"152","great_pret","critical","complete","1","critical","inconv","nonprob","recommended","priority"
"153","great_pret","proper","complete","3","less_conv","inconv","slightly_prob","not_recom","not_recom"
"154","pretentious","very_crit","complete","2","less_conv","inconv","slightly_prob","recommended","priority"
"155","great_pret","proper","incomplete","3","convenient","convenient","problematic","recommended","priority"
"156","pretentious","less_proper","complete","2","less_conv","inconv","nonprob","not_recom","not_recom"
"157","pretentious","improper","completed","3","less_conv","inconv","slightly_prob","priority","spec_prior"
"158","great_pret","proper","completed","more","critical","inconv","nonprob","not_recom","not_recom"
"159","pretentious","critical","foster","more","critical","inconv","nonprob","priority","spec_prior"
"160","usual","proper","completed","2","less_conv","convenient","nonprob","recommended","very_recom"
"161","usual","proper","incomplete","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"162","great_pret","less_proper","foster","3","less_conv","convenient","problematic","not_recom","not_recom"
"163","usual","proper","incomplete","3","critical","inconv","slightly_prob","priority","priority"
